CustomerID,Daypart,Visit#Daypart
134943,5 PM - before 9 PM,2
134947,5 PM - before 9 PM,2
134952,5 PM - before 9 PM,2
134955,5 PM - before 9 PM,2
134959,5 PM - before 9 PM,2
134961,5 PM - before 9 PM,2
134962,5 PM - before 9 PM,2
134963,5 PM - before 9 PM,2
134970,5 PM - before 9 PM,2
134971,5 PM - before 9 PM,2
135013,5 PM - before 9 PM,2
135016,5 PM - before 9 PM,2
135018,5 PM - before 9 PM,2
135053,5 PM - before 9 PM,2
135055,5 PM - before 9 PM,2
135085,5 PM - before 9 PM,2
135357,5 PM - before 9 PM,2
135364,5 PM - before 9 PM,2
135367,5 PM - before 9 PM,2
135372,5 PM - before 9 PM,2
135374,5 PM - before 9 PM,2
135556,5 PM - before 9 PM,2
135608,5 PM - before 9 PM,2
135834,5 PM - before 9 PM,2
136103,5 PM - before 9 PM,2
136381,5 PM - before 9 PM,2
136396,5 PM - before 9 PM,2
136400,5 PM - before 9 PM,2
136426,5 PM - before 9 PM,2
136430,5 PM - before 9 PM,2
136432,5 PM - before 9 PM,2
136438,5 PM - before 9 PM,2
136439,5 PM - before 9 PM,2
138100,5 PM - before 9 PM,2
138106,5 PM - before 9 PM,2
138107,5 PM - before 9 PM,2
138149,5 PM - before 9 PM,2
138212,5 PM - before 9 PM,2
138213,5 PM - before 9 PM,2
138334,5 PM - before 9 PM,2
138338,5 PM - before 9 PM,2
138416,5 PM - before 9 PM,2
138421,5 PM - before 9 PM,2
138425,5 PM - before 9 PM,2
138505,5 PM - before 9 PM,2
138512,5 PM - before 9 PM,2
138526,5 PM - before 9 PM,2
138530,5 PM - before 9 PM,2
138531,5 PM - before 9 PM,2
138590,5 PM - before 9 PM,2
138625,5 PM - before 9 PM,2
138626,5 PM - before 9 PM,2
138639,5 PM - before 9 PM,2
138640,5 PM - before 9 PM,2
138729,5 PM - before 9 PM,2
138752,5 PM - before 9 PM,2
138768,5 PM - before 9 PM,2
138770,5 PM - before 9 PM,2
138771,5 PM - before 9 PM,2
138865,5 PM - before 9 PM,2
138868,5 PM - before 9 PM,2
138909,5 PM - before 9 PM,2
138910,5 PM - before 9 PM,2
138917,5 PM - before 9 PM,2
138919,5 PM - before 9 PM,2
138920,5 PM - before 9 PM,2
138921,5 PM - before 9 PM,2
138951,5 PM - before 9 PM,2
139025,5 PM - before 9 PM,2
139951,5 PM - before 9 PM,2
139952,5 PM - before 9 PM,2
139956,5 PM - before 9 PM,2
139957,5 PM - before 9 PM,2
139958,5 PM - before 9 PM,2
139987,5 PM - before 9 PM,2
139989,5 PM - before 9 PM,2
139994,5 PM - before 9 PM,2
140008,5 PM - before 9 PM,2
140030,5 PM - before 9 PM,2
140095,5 PM - before 9 PM,2
140096,5 PM - before 9 PM,2
140099,5 PM - before 9 PM,2
140100,5 PM - before 9 PM,2
140132,5 PM - before 9 PM,2
140142,5 PM - before 9 PM,2
140233,5 PM - before 9 PM,2
140248,5 PM - before 9 PM,2
140279,5 PM - before 9 PM,2
140293,5 PM - before 9 PM,2
140296,5 PM - before 9 PM,2
140306,5 PM - before 9 PM,2
140314,5 PM - before 9 PM,2
140331,5 PM - before 9 PM,2
140361,5 PM - before 9 PM,2
140389,5 PM - before 9 PM,2
140390,5 PM - before 9 PM,2
140394,5 PM - before 9 PM,2
140396,5 PM - before 9 PM,2
140398,5 PM - before 9 PM,2
140401,5 PM - before 9 PM,2
140402,5 PM - before 9 PM,2
140409,5 PM - before 9 PM,2
140426,5 PM - before 9 PM,2
140681,5 PM - before 9 PM,2
140683,5 PM - before 9 PM,2
140717,5 PM - before 9 PM,2
358485,5 PM - before 9 PM,2
358634,5 PM - before 9 PM,2
358635,5 PM - before 9 PM,2
359632,5 PM - before 9 PM,2
359874,5 PM - before 9 PM,2
359885,5 PM - before 9 PM,2
359945,5 PM - before 9 PM,2
360220,5 PM - before 9 PM,2
360511,5 PM - before 9 PM,2
360525,5 PM - before 9 PM,2
364511,5 PM - before 9 PM,2
364677,5 PM - before 9 PM,2
367348,5 PM - before 9 PM,2
368245,5 PM - before 9 PM,2
368563,5 PM - before 9 PM,2
368602,5 PM - before 9 PM,2
369533,5 PM - before 9 PM,2
369847,5 PM - before 9 PM,2
370069,5 PM - before 9 PM,2
371397,5 PM - before 9 PM,2
371399,5 PM - before 9 PM,2
371873,5 PM - before 9 PM,2
377402,5 PM - before 9 PM,2
377783,5 PM - before 9 PM,2
377785,5 PM - before 9 PM,2
378872,5 PM - before 9 PM,2
378878,5 PM - before 9 PM,2
381317,5 PM - before 9 PM,2
381390,5 PM - before 9 PM,2
381392,5 PM - before 9 PM,2
381393,5 PM - before 9 PM,2
381395,5 PM - before 9 PM,2
382217,5 PM - before 9 PM,2
382222,5 PM - before 9 PM,2
382754,5 PM - before 9 PM,2
395730,5 PM - before 9 PM,2
395732,5 PM - before 9 PM,2
