CustomerID,DayID,Visit
392126,DAY04,4
392738,DAY04,4
392746,DAY04,4
392838,DAY04,4
392984,DAY04,4
393332,DAY04,4
394573,DAY04,4
394574,DAY04,4
394601,DAY04,4
396267,DAY04,4
396318,DAY04,4
396321,DAY04,4
396328,DAY04,4
396389,DAY04,4
396614,DAY04,4
397723,DAY04,4
400209,DAY04,4
409878,DAY04,4
410053,DAY04,4
410105,DAY04,4
411899,DAY04,4
411992,DAY04,4
411993,DAY04,4
412129,DAY04,4
412532,DAY04,4
412883,DAY04,4
412885,DAY04,4
413198,DAY04,4
414755,DAY04,4
415127,DAY04,4
415473,DAY04,4
415474,DAY04,4
415475,DAY04,4
415476,DAY04,4
415477,DAY04,4
415478,DAY04,4
415479,DAY04,4
415480,DAY04,4
415483,DAY04,4
415486,DAY04,4
415488,DAY04,4
415489,DAY04,4
415490,DAY04,4
415491,DAY04,4
415492,DAY04,4
415493,DAY04,4
415525,DAY04,4
415526,DAY04,4
415528,DAY04,4
415529,DAY04,4
416088,DAY04,4
416092,DAY04,4
416111,DAY04,4
416160,DAY04,4
416163,DAY04,4
416166,DAY04,4
416168,DAY04,4
416188,DAY04,4
416191,DAY04,4
416192,DAY04,4
416194,DAY04,4
416233,DAY04,4
416235,DAY04,4
416244,DAY04,4
416332,DAY04,4
416344,DAY04,4
416345,DAY04,4
416690,DAY04,4
416924,DAY04,4
416928,DAY04,4
417508,DAY04,4
417510,DAY04,4
417511,DAY04,4
417512,DAY04,4
417744,DAY04,4
418686,DAY04,4
418689,DAY04,4
419052,DAY04,4
419104,DAY04,4
419106,DAY04,4
419107,DAY04,4
419108,DAY04,4
419114,DAY04,4
419116,DAY04,4
419117,DAY04,4
419118,DAY04,4
419223,DAY04,4
419418,DAY04,4
419419,DAY04,4
419420,DAY04,4
419421,DAY04,4
440905,DAY04,4
441230,DAY04,4
441974,DAY04,4
441976,DAY04,4
442634,DAY04,4
442635,DAY04,4
442636,DAY04,4
442777,DAY04,4
444116,DAY04,4
444441,DAY04,4
444443,DAY04,4
444444,DAY04,4
444445,DAY04,4
444447,DAY04,4
444448,DAY04,4
